,chembl_compound,uniprot_id,drugbankId
3682,CHEMBL.COMPOUND:CHEMBL166863,UniProtKB:P00918,DB12399
3683,CHEMBL.COMPOUND:CHEMBL166863,UniProtKB:P00915,DB12399
3684,CHEMBL.COMPOUND:CHEMBL1213351,UniProtKB:P35372,DB00647
3685,CHEMBL.COMPOUND:CHEMBL3989801,UniProtKB:P11142,
3686,CHEMBL.COMPOUND:CHEMBL495,UniProtKB:P43116,DB00770
3687,CHEMBL.COMPOUND:CHEMBL495,UniProtKB:P34995,DB00770
3688,CHEMBL.COMPOUND:CHEMBL1083993,UniProtKB:Q12809,
3689,CHEMBL.COMPOUND:CHEMBL2103739,UniProtKB:P35367,
3690,CHEMBL.COMPOUND:CHEMBL444929,UniProtKB:P48764,DB06461
3691,CHEMBL.COMPOUND:CHEMBL1265,UniProtKB:P13631,DB00210
3692,CHEMBL.COMPOUND:CHEMBL1265,UniProtKB:P10826,DB00210
3693,CHEMBL.COMPOUND:CHEMBL1265,UniProtKB:P10276,DB00210
3694,CHEMBL.COMPOUND:CHEMBL2362016,UniProtKB:Q16881,
3695,CHEMBL.COMPOUND:CHEMBL459505,UniProtKB:O43174,DB13083
3696,CHEMBL.COMPOUND:CHEMBL119625,UniProtKB:P42263,
3697,CHEMBL.COMPOUND:CHEMBL119625,UniProtKB:P42261,
3698,CHEMBL.COMPOUND:CHEMBL119625,UniProtKB:P42262,
3699,CHEMBL.COMPOUND:CHEMBL119625,UniProtKB:P48058,
3700,CHEMBL.COMPOUND:CHEMBL529437,UniProtKB:Q01118,
3701,CHEMBL.COMPOUND:CHEMBL529437,UniProtKB:Q99250,
3702,CHEMBL.COMPOUND:CHEMBL529437,UniProtKB:Q15858,
3703,CHEMBL.COMPOUND:CHEMBL529437,UniProtKB:Q9UI33,
3704,CHEMBL.COMPOUND:CHEMBL529437,UniProtKB:P35498,
3705,CHEMBL.COMPOUND:CHEMBL529437,UniProtKB:Q9UQD0,
3706,CHEMBL.COMPOUND:CHEMBL529437,UniProtKB:Q9NY46,
3707,CHEMBL.COMPOUND:CHEMBL529437,UniProtKB:P35499,
