DrugBank ID,First letter ATC Codes
DB04643,No ATC Code
DB04644,No ATC Code
DB04645,No ATC Code
DB04646,No ATC Code
DB04647,No ATC Code
DB04648,No ATC Code
DB04649,No ATC Code
DB04650,No ATC Code
DB04651,No ATC Code
DB04652,No ATC Code
DB04653,No ATC Code
DB04654,No ATC Code
DB04655,No ATC Code
DB04656,No ATC Code
DB04657,No ATC Code
DB04658,No ATC Code
DB04659,No ATC Code
DB04660,N
DB04661,No ATC Code
DB04662,No ATC Code
DB04663,No ATC Code
DB04664,No ATC Code
DB04665,No ATC Code
DB04666,No ATC Code
DB04667,No ATC Code
DB04668,No ATC Code
DB04669,No ATC Code
DB04671,No ATC Code
DB04672,No ATC Code
DB04673,No ATC Code
DB04674,No ATC Code
DB04676,No ATC Code
DB04677,No ATC Code
DB04678,No ATC Code
DB04679,No ATC Code
DB04680,No ATC Code
DB04681,No ATC Code
DB04682,No ATC Code
DB04683,No ATC Code
DB04684,No ATC Code
DB04685,No ATC Code
DB04686,No ATC Code
DB04687,No ATC Code
DB04688,No ATC Code
DB04689,No ATC Code
DB04690,No ATC Code
DB04691,No ATC Code
DB04692,No ATC Code
DB04693,No ATC Code
DB04694,No ATC Code
DB04695,No ATC Code
DB04696,No ATC Code
DB04697,No ATC Code
DB04698,No ATC Code
DB04699,No ATC Code
DB04700,No ATC Code
DB04701,No ATC Code
DB04702,No ATC Code
DB04703,No ATC Code
DB04704,No ATC Code
DB04705,No ATC Code
DB04706,No ATC Code
DB04707,No ATC Code
DB04708,No ATC Code
DB04709,No ATC Code
DB04710,No ATC Code
DB04711,V
DB04712,No ATC Code
DB04713,No ATC Code
DB04714,No ATC Code
DB04715,No ATC Code
DB04716,No ATC Code
DB04717,No ATC Code
DB04718,No ATC Code
DB04719,No ATC Code
DB04720,No ATC Code
DB04721,No ATC Code
DB04722,No ATC Code
DB04723,No ATC Code
DB04724,No ATC Code
DB04725,No ATC Code
DB04726,No ATC Code
DB04727,No ATC Code
DB04728,No ATC Code
DB04729,No ATC Code
DB04731,No ATC Code
DB04732,No ATC Code
DB04733,No ATC Code
DB04734,No ATC Code
DB04735,No ATC Code
DB04736,No ATC Code
DB04737,No ATC Code
DB04738,No ATC Code
DB04739,No ATC Code
DB04740,No ATC Code
DB04741,No ATC Code
DB04742,No ATC Code
DB04743,M
DB04744,No ATC Code
DB04745,No ATC Code
DB04746,No ATC Code
DB04747,No ATC Code
DB04748,No ATC Code
DB04749,No ATC Code
DB04750,No ATC Code
DB04751,No ATC Code
DB04752,No ATC Code
DB04753,No ATC Code
DB04754,No ATC Code
DB04755,No ATC Code
DB04756,No ATC Code
DB04757,No ATC Code
DB04758,No ATC Code
DB04759,No ATC Code
DB04760,No ATC Code
DB04761,No ATC Code
DB04762,No ATC Code
DB04763,No ATC Code
DB04764,No ATC Code
DB04765,No ATC Code
DB04767,No ATC Code
DB04768,No ATC Code
DB04769,No ATC Code
DB04770,No ATC Code
DB04771,No ATC Code
DB04772,No ATC Code
DB04773,No ATC Code
DB04774,No ATC Code
DB04775,No ATC Code
DB04776,No ATC Code
DB04777,No ATC Code
DB04778,No ATC Code
DB04779,No ATC Code
DB04780,No ATC Code
DB04781,No ATC Code
DB04782,No ATC Code
DB04783,No ATC Code
DB04784,No ATC Code
DB04785,No ATC Code
DB04786,P
DB04787,No ATC Code
DB04788,No ATC Code
DB04789,No ATC Code
DB04790,No ATC Code
DB04791,No ATC Code
DB04792,No ATC Code
DB04793,No ATC Code
DB04794,D
DB04795,No ATC Code
DB04796,No ATC Code
DB04797,No ATC Code
DB04798,No ATC Code
DB04799,No ATC Code
DB04800,No ATC Code
DB04801,No ATC Code
DB04802,No ATC Code
DB04803,No ATC Code
DB04804,No ATC Code
DB04805,No ATC Code
DB04806,No ATC Code
DB04807,No ATC Code
DB04808,No ATC Code
DB04809,No ATC Code
DB04810,No ATC Code
DB04811,No ATC Code
DB04812,M
DB04813,D
DB04814,No ATC Code
DB04815,G
DB04816,A
DB04817,N
DB04818,N
DB04819,R
DB04820,N
DB04821,N
DB04822,R
DB04823,A
DB04824,A
DB04825,C
DB04826,R
DB04827,No ATC Code
DB04828,M
DB04829,No ATC Code
DB04830,A
DB04831,C
DB04832,N
DB04833,N
DB04834,No ATC Code
DB04835,J
DB04836,N
DB04837,R
DB04838,C
DB04839,G
DB04840,C
DB04841,N
DB04842,N
DB04843,A
DB04844,N
DB04845,L
DB04846,C
DB04847,B
DB04848,No ATC Code
DB04849,L
DB04850,No ATC Code
DB04851,No ATC Code
DB04852,No ATC Code
DB04853,No ATC Code
DB04854,M
DB04855,C
DB04856,No ATC Code
DB04857,No ATC Code
DB04858,No ATC Code
DB04859,No ATC Code
DB04860,No ATC Code
DB04861,C
DB04862,No ATC Code
DB04863,No ATC Code
DB04864,No ATC Code
DB04865,L
DB04866,No ATC Code
DB04867,No ATC Code
DB04868,L
DB04869,No ATC Code
DB04870,No ATC Code
DB04871,A
DB04872,No ATC Code
DB04873,No ATC Code
DB04874,No ATC Code
DB04875,No ATC Code
DB04876,A
DB04877,No ATC Code
DB04878,A
DB04879,No ATC Code
DB04880,C
DB04881,No ATC Code
DB04882,No ATC Code
DB04883,No ATC Code
DB04884,G
DB04885,A
DB04886,No ATC Code
DB04887,No ATC Code
DB04888,No ATC Code
DB04889,No ATC Code
DB04890,No ATC Code
DB04891,No ATC Code
DB04892,No ATC Code
DB04893,No ATC Code
DB04894,H
DB04895,S
DB04896,N
DB04897,No ATC Code
DB04898,B
DB04899,C
DB04900,No ATC Code
DB04901,No ATC Code
DB04903,No ATC Code
DB04904,No ATC Code
DB04905,No ATC Code
DB04907,L
DB04908,G
DB04909,No ATC Code
DB04910,No ATC Code
DB04911,J
DB04912,No ATC Code
DB04914,No ATC Code
DB04915,No ATC Code
DB04917,No ATC Code
DB04918,No ATC Code
DB04919,No ATC Code
DB04920,C
DB04921,No ATC Code
DB04923,No ATC Code
DB04924,A
DB04925,No ATC Code
DB04926,No ATC Code
DB04928,No ATC Code
DB04929,No ATC Code
DB04930,P
DB04931,D
DB04932,B
DB04933,No ATC Code
DB04934,No ATC Code
DB04936,No ATC Code
DB04938,G
DB04941,A
DB04942,No ATC Code
DB04943,No ATC Code
DB04944,C
DB04945,No ATC Code
DB04946,N
DB04947,No ATC Code
DB04948,N
DB04949,No ATC Code
DB04950,No ATC Code
DB04951,L
DB04952,No ATC Code
DB04953,N
DB04954,No ATC Code
DB04955,No ATC Code
DB04956,L
DB04957,No ATC Code
DB04958,No ATC Code
DB04959,No ATC Code
DB04960,No ATC Code
DB04961,No ATC Code
DB04962,No ATC Code
DB04963,No ATC Code
DB04964,No ATC Code
DB04967,No ATC Code
DB04968,No ATC Code
DB04969,No ATC Code
DB04970,No ATC Code
DB04971,No ATC Code
DB04972,No ATC Code
DB04973,No ATC Code
DB04974,No ATC Code
DB04975,No ATC Code
DB04976,No ATC Code
DB04977,L
DB04978,No ATC Code
DB04979,No ATC Code
DB04980,No ATC Code
DB04981,No ATC Code
DB04982,No ATC Code
DB04983,No ATC Code
DB04985,No ATC Code
DB04986,No ATC Code
DB04987,No ATC Code
DB04988,No ATC Code
DB04989,No ATC Code
DB04991,No ATC Code
DB04992,No ATC Code
DB04995,No ATC Code
DB04996,L
DB04997,No ATC Code
DB04998,No ATC Code
DB04999,No ATC Code
DB05000,No ATC Code
DB05001,No ATC Code
DB05003,No ATC Code
DB05004,No ATC Code
DB05006,No ATC Code
DB05009,No ATC Code
DB05010,No ATC Code
DB05011,No ATC Code
DB05012,No ATC Code
DB05013,D
DB05014,No ATC Code
DB05015,L
DB05016,M
DB05017,No ATC Code
DB05018,A
DB05019,No ATC Code
DB05020,No ATC Code
DB05021,No ATC Code
DB05022,No ATC Code
DB05023,No ATC Code
DB05024,No ATC Code
DB05025,N
DB05027,No ATC Code
DB05029,No ATC Code
DB05032,No ATC Code
DB05033,No ATC Code
DB05034,No ATC Code
DB05035,No ATC Code
DB05036,No ATC Code
DB05038,No ATC Code
DB05039,R
DB05040,No ATC Code
DB05042,No ATC Code
DB05043,No ATC Code
DB05044,No ATC Code
DB05045,No ATC Code
DB05046,No ATC Code
DB05047,No ATC Code
DB05048,No ATC Code
DB05049,No ATC Code
DB05050,No ATC Code
DB05051,No ATC Code
DB05052,No ATC Code
DB05053,No ATC Code
DB05054,No ATC Code
DB05055,No ATC Code
DB05056,No ATC Code
DB05057,R
DB05059,No ATC Code
DB05060,No ATC Code
DB05061,No ATC Code
DB05063,No ATC Code
DB05064,No ATC Code
DB05068,No ATC Code
DB05069,No ATC Code
DB05070,No ATC Code
DB05071,No ATC Code
DB05072,No ATC Code
DB05075,No ATC Code
DB05076,No ATC Code
DB05077,No ATC Code
DB05078,No ATC Code
DB05079,No ATC Code
DB05080,No ATC Code
DB05081,No ATC Code
DB05082,No ATC Code
DB05084,H
DB05085,No ATC Code
DB05087,N
DB05088,No ATC Code
DB05089,No ATC Code
DB05090,No ATC Code
DB05091,No ATC Code
DB05092,No ATC Code
DB05093,No ATC Code
DB05095,No ATC Code
DB05096,No ATC Code
DB05097,No ATC Code
DB05098,No ATC Code
DB05099,B
DB05100,No ATC Code
DB05101,No ATC Code
DB05102,No ATC Code
DB05103,No ATC Code
DB05104,No ATC Code
DB05105,J
DB05106,No ATC Code
DB05107,No ATC Code
DB05108,No ATC Code
DB05109,L
DB05110,No ATC Code
DB05111,No ATC Code
DB05112,No ATC Code
DB05113,No ATC Code
DB05114,No ATC Code
DB05115,No ATC Code
DB05116,No ATC Code
DB05117,No ATC Code
DB05118,No ATC Code
DB05119,No ATC Code
DB05120,No ATC Code
DB05121,No ATC Code
DB05122,No ATC Code
DB05123,No ATC Code
DB05124,No ATC Code
DB05125,No ATC Code
DB05126,No ATC Code
DB05127,No ATC Code
DB05128,No ATC Code
DB05129,No ATC Code
DB05130,No ATC Code
DB05131,No ATC Code
DB05132,No ATC Code
DB05133,No ATC Code
DB05134,No ATC Code
DB05135,No ATC Code
DB05136,No ATC Code
DB05137,No ATC Code
DB05138,No ATC Code
DB05139,No ATC Code
DB05140,No ATC Code
DB05141,No ATC Code
DB05142,No ATC Code
DB05143,No ATC Code
DB05144,No ATC Code
DB05145,No ATC Code
DB05146,No ATC Code
DB05147,No ATC Code
DB05148,No ATC Code
DB05149,No ATC Code
DB05150,No ATC Code
DB05151,No ATC Code
DB05152,No ATC Code
DB05154,J
DB05155,No ATC Code
DB05156,No ATC Code
DB05157,No ATC Code
DB05158,No ATC Code
DB05159,No ATC Code
DB05160,No ATC Code
DB05161,No ATC Code
DB05163,No ATC Code
DB05164,No ATC Code
DB05165,No ATC Code
DB05166,No ATC Code
DB05167,No ATC Code
DB05168,L
DB05169,No ATC Code
DB05170,No ATC Code
DB05171,No ATC Code
DB05172,No ATC Code
DB05173,No ATC Code
DB05174,No ATC Code
DB05177,No ATC Code
DB05178,No ATC Code
DB05179,No ATC Code
DB05180,No ATC Code
DB05181,No ATC Code
DB05182,No ATC Code
DB05183,No ATC Code
DB05184,No ATC Code
DB05185,No ATC Code
DB05186,No ATC Code
DB05187,No ATC Code
DB05188,No ATC Code
DB05189,No ATC Code
DB05190,No ATC Code
DB05191,No ATC Code
DB05192,No ATC Code
DB05194,No ATC Code
DB05195,No ATC Code
DB05196,No ATC Code
DB05197,No ATC Code
DB05198,No ATC Code
DB05199,No ATC Code
DB05200,No ATC Code
DB05201,No ATC Code
DB05202,No ATC Code
DB05203,No ATC Code
DB05204,No ATC Code
DB05205,No ATC Code
DB05207,No ATC Code
DB05209,No ATC Code
DB05210,No ATC Code
DB05211,No ATC Code
DB05212,No ATC Code
DB05214,No ATC Code
DB05217,No ATC Code
DB05218,No ATC Code
DB05219,D
DB05220,No ATC Code
DB05222,No ATC Code
DB05223,No ATC Code
DB05224,No ATC Code
DB05225,No ATC Code
DB05226,No ATC Code
DB05227,No ATC Code
DB05228,No ATC Code
DB05229,B
DB05230,No ATC Code
DB05232,No ATC Code
DB05233,No ATC Code
DB05234,No ATC Code
DB05235,No ATC Code
DB05236,No ATC Code
DB05237,No ATC Code
DB05239,L
DB05241,No ATC Code
DB05242,No ATC Code
DB05243,No ATC Code
DB05244,No ATC Code
DB05245,D
DB05246,N
DB05249,No ATC Code
DB05252,No ATC Code
DB05253,No ATC Code
DB05254,B
DB05255,No ATC Code
DB05257,No ATC Code
DB05258,No ATC Code
DB05259,L
DB05260,No ATC Code
DB05262,No ATC Code
DB05263,No ATC Code
DB05264,No ATC Code
DB05265,No ATC Code
DB05266,R
DB05268,No ATC Code
DB05271,N
DB05273,V
DB05276,J
DB05282,No ATC Code
DB05284,No ATC Code
DB05285,No ATC Code
DB05288,No ATC Code
DB05289,No ATC Code
DB05290,No ATC Code
DB05292,No ATC Code
DB05293,No ATC Code
DB05294,L
DB05295,No ATC Code
DB05296,No ATC Code
DB05297,No ATC Code
DB05298,No ATC Code
DB05299,No ATC Code
DB05300,No ATC Code
DB05301,No ATC Code
DB05303,No ATC Code
DB05304,No ATC Code
DB05305,No ATC Code
DB05306,No ATC Code
DB05308,No ATC Code
DB05309,No ATC Code
DB05310,No ATC Code
DB05311,B
DB05312,No ATC Code
DB05313,No ATC Code
DB05315,No ATC Code
DB05316,N
DB05317,No ATC Code
DB05319,L
DB05320,No ATC Code
DB05321,No ATC Code
DB05322,No ATC Code
DB05325,No ATC Code
DB05326,No ATC Code
DB05327,No ATC Code
DB05328,No ATC Code
DB05329,No ATC Code
DB05330,No ATC Code
DB05332,B
DB05333,No ATC Code
DB05336,J
DB05337,No ATC Code
DB05339,No ATC Code
DB05340,No ATC Code
DB05343,No ATC Code
DB05344,No ATC Code
DB05345,No ATC Code
DB05346,No ATC Code
DB05351,A
DB05352,No ATC Code
DB05353,No ATC Code
DB05361,No ATC Code
DB05362,No ATC Code
DB05363,No ATC Code
DB05364,No ATC Code
DB05367,No ATC Code
DB05368,No ATC Code
DB05369,No ATC Code
DB05371,No ATC Code
DB05374,No ATC Code
DB05377,No ATC Code
DB05380,No ATC Code
DB05381,L
DB05382,D
DB05383,No ATC Code
DB05384,No ATC Code
DB05385,No ATC Code
DB05386,No ATC Code
DB05387,No ATC Code
DB05389,No ATC Code
DB05390,No ATC Code
DB05391,No ATC Code
DB05393,No ATC Code
DB05394,V
DB05395,No ATC Code
DB05396,L
DB05398,No ATC Code
DB05399,No ATC Code
DB05400,No ATC Code
DB05403,No ATC Code
DB05404,No ATC Code
DB05405,No ATC Code
DB05406,No ATC Code
DB05407,No ATC Code
DB05408,No ATC Code
DB05409,No ATC Code
DB05410,No ATC Code
DB05411,No ATC Code
DB05412,No ATC Code
DB05413,No ATC Code
DB05414,No ATC Code
DB05415,No ATC Code
DB05416,No ATC Code
DB05417,No ATC Code
DB05418,No ATC Code
DB05419,No ATC Code
DB05420,No ATC Code
DB05421,No ATC Code
DB05422,No ATC Code
DB05423,No ATC Code
DB05424,No ATC Code
DB05426,No ATC Code
DB05427,No ATC Code
DB05428,No ATC Code
DB05429,No ATC Code
DB05430,No ATC Code
DB05431,No ATC Code
DB05432,No ATC Code
DB05433,No ATC Code
DB05434,No ATC Code
DB05437,No ATC Code
DB05438,No ATC Code
DB05439,No ATC Code
DB05440,No ATC Code
DB05441,No ATC Code
DB05442,No ATC Code
DB05443,No ATC Code
DB05444,No ATC Code
DB05445,No ATC Code
DB05446,No ATC Code
DB05447,No ATC Code
DB05448,No ATC Code
DB05449,No ATC Code
DB05450,No ATC Code
DB05451,No ATC Code
DB05452,No ATC Code
DB05454,No ATC Code
DB05455,No ATC Code
DB05456,No ATC Code
DB05457,No ATC Code
DB05458,No ATC Code
DB05459,L
DB05460,No ATC Code
DB05461,No ATC Code
DB05462,No ATC Code
DB05463,No ATC Code
DB05464,No ATC Code
DB05465,No ATC Code
DB05466,No ATC Code
DB05467,M
DB05468,No ATC Code
DB05469,No ATC Code
DB05470,No ATC Code
DB05471,No ATC Code
DB05472,No ATC Code
DB05473,No ATC Code
DB05474,No ATC Code
DB05475,No ATC Code
DB05476,No ATC Code
DB05477,No ATC Code
DB05478,No ATC Code
DB05479,No ATC Code
DB05480,No ATC Code
DB05481,No ATC Code
DB05482,No ATC Code
DB05483,No ATC Code
DB05484,No ATC Code
DB05485,No ATC Code
DB05487,No ATC Code
DB05488,No ATC Code
DB05489,No ATC Code
DB05490,No ATC Code
DB05491,No ATC Code
DB05492,No ATC Code
DB05493,No ATC Code
DB05494,No ATC Code
DB05495,No ATC Code
DB05496,No ATC Code
DB05498,No ATC Code
DB05499,No ATC Code
DB05500,No ATC Code
DB05501,No ATC Code
DB05502,No ATC Code
DB05505,No ATC Code
DB05506,No ATC Code
DB05507,No ATC Code
DB05509,No ATC Code
DB05511,No ATC Code
DB05512,No ATC Code
DB05513,No ATC Code
DB05514,No ATC Code
DB05516,No ATC Code
DB05518,No ATC Code
DB05519,No ATC Code
DB05520,No ATC Code
DB05521,J
DB05524,No ATC Code
DB05525,No ATC Code
DB05528,C
DB05530,No ATC Code
DB05531,No ATC Code
DB05532,No ATC Code
DB05533,No ATC Code
DB05540,No ATC Code
DB05541,N
DB05542,No ATC Code
DB05545,No ATC Code
DB05546,No ATC Code
DB05549,No ATC Code
DB05550,No ATC Code
DB05552,No ATC Code
DB05553,No ATC Code
DB05555,No ATC Code
DB05559,No ATC Code
DB05560,No ATC Code
DB05562,No ATC Code
DB05565,No ATC Code
DB05575,No ATC Code
DB05578,L
DB05580,No ATC Code
DB05584,No ATC Code
DB05585,No ATC Code
DB05586,No ATC Code
DB05590,No ATC Code
DB05592,No ATC Code
DB05594,No ATC Code
DB05595,No ATC Code
DB05596,No ATC Code
DB05599,No ATC Code
DB05604,No ATC Code
DB05606,No ATC Code
DB05607,No ATC Code
DB05608,No ATC Code
DB05611,No ATC Code
DB05616,No ATC Code
DB05620,No ATC Code
DB05624,No ATC Code
DB05625,No ATC Code
DB05626,No ATC Code
DB05630,P
DB05631,No ATC Code
DB05633,No ATC Code
DB05638,No ATC Code
DB05642,No ATC Code
DB05643,No ATC Code
DB05644,No ATC Code
DB05645,No ATC Code
DB05649,No ATC Code
DB05650,No ATC Code
DB05652,No ATC Code
DB05653,No ATC Code
DB05656,No ATC Code
DB05659,No ATC Code
DB05660,No ATC Code
DB05662,No ATC Code
DB05667,H
DB05668,No ATC Code
DB05670,No ATC Code
DB05671,No ATC Code
DB05675,No ATC Code
DB05676,L
DB05678,No ATC Code
DB05679,L
DB05680,No ATC Code
DB05683,No ATC Code
DB05685,No ATC Code
DB05686,No ATC Code
DB05687,No ATC Code
DB05688,No ATC Code
DB05695,No ATC Code
DB05697,No ATC Code
DB05698,No ATC Code
DB05705,No ATC Code
DB05706,No ATC Code
DB05708,No ATC Code
DB05710,No ATC Code
DB05712,No ATC Code
DB05713,No ATC Code
DB05714,No ATC Code
DB05718,No ATC Code
DB05719,No ATC Code
DB05721,No ATC Code
DB05722,No ATC Code
DB05723,No ATC Code
DB05724,No ATC Code
DB05730,No ATC Code
DB05732,No ATC Code
DB05735,No ATC Code
DB05736,No ATC Code
DB05737,No ATC Code
DB05738,No ATC Code
DB05739,No ATC Code
DB05740,No ATC Code
DB05741,No ATC Code
DB05742,No ATC Code
DB05744,No ATC Code
DB05746,No ATC Code
DB05747,No ATC Code
DB05749,No ATC Code
DB05750,No ATC Code
DB05751,No ATC Code
DB05752,No ATC Code
DB05753,No ATC Code
DB05754,No ATC Code
DB05755,No ATC Code
DB05756,No ATC Code
DB05757,No ATC Code
DB05758,No ATC Code
DB05765,No ATC Code
DB05766,No ATC Code
DB05767,No ATC Code
DB05768,No ATC Code
DB05769,No ATC Code
DB05771,No ATC Code
DB05772,No ATC Code
DB05773,L
DB05775,No ATC Code
DB05776,No ATC Code
DB05777,No ATC Code
DB05778,No ATC Code
DB05779,No ATC Code
DB05780,No ATC Code
DB05785,No ATC Code
DB05786,No ATC Code
DB05787,No ATC Code
DB05789,No ATC Code
DB05790,No ATC Code
DB05791,V
DB05792,No ATC Code
DB05793,No ATC Code
DB05794,C
DB05796,No ATC Code
DB05797,No ATC Code
DB05798,No ATC Code
DB05799,No ATC Code
DB05800,No ATC Code
DB05801,No ATC Code
DB05803,No ATC Code
DB05804,No ATC Code
DB05805,No ATC Code
DB05806,No ATC Code
DB05807,No ATC Code
DB05808,No ATC Code
DB05809,No ATC Code
DB05810,No ATC Code
DB05811,No ATC Code
DB05812,L
DB05814,No ATC Code
DB05815,No ATC Code
DB05817,No ATC Code
DB05818,No ATC Code
DB05819,No ATC Code
DB05820,No ATC Code
DB05821,No ATC Code
DB05824,No ATC Code
DB05825,No ATC Code
DB05826,No ATC Code
DB05827,No ATC Code
DB05828,No ATC Code
DB05829,H
DB05830,No ATC Code
DB05831,No ATC Code
DB05832,No ATC Code
DB05834,No ATC Code
DB05835,No ATC Code
DB05836,No ATC Code
DB05837,No ATC Code
DB05838,No ATC Code
DB05839,No ATC Code
DB05840,No ATC Code
DB05841,No ATC Code
DB05842,No ATC Code
DB05843,No ATC Code
DB05845,No ATC Code
DB05846,No ATC Code
DB05848,No ATC Code
DB05849,No ATC Code
DB05851,No ATC Code
DB05852,No ATC Code
DB05854,No ATC Code
DB05855,No ATC Code
DB05856,No ATC Code
DB05857,No ATC Code
DB05858,No ATC Code
DB05859,No ATC Code
DB05860,No ATC Code
DB05861,No ATC Code
DB05863,No ATC Code
DB05864,No ATC Code
DB05865,No ATC Code
DB05866,No ATC Code
DB05867,No ATC Code
DB05868,No ATC Code
DB05869,No ATC Code
DB05870,No ATC Code
DB05871,No ATC Code
DB05873,No ATC Code
DB05874,No ATC Code
DB05875,No ATC Code
DB05879,No ATC Code
DB05880,No ATC Code
DB05881,No ATC Code
DB05882,No ATC Code
DB05883,No ATC Code
DB05884,No ATC Code
DB05885,No ATC Code
DB05886,No ATC Code
DB05887,No ATC Code
DB05888,No ATC Code
DB05889,L
DB05890,No ATC Code
DB05892,No ATC Code
DB05894,No ATC Code
DB05895,No ATC Code
DB05896,No ATC Code
DB05897,No ATC Code
DB05898,No ATC Code
DB05899,No ATC Code
DB05903,No ATC Code
DB05904,No ATC Code
DB05905,No ATC Code
DB05906,No ATC Code
DB05911,No ATC Code
DB05912,No ATC Code
DB05913,No ATC Code
DB05915,No ATC Code
DB05916,No ATC Code
DB05918,No ATC Code
DB05919,No ATC Code
DB05920,No ATC Code
DB05924,No ATC Code
DB05928,No ATC Code
DB05929,No ATC Code
DB05930,No ATC Code
DB05931,No ATC Code
DB05932,No ATC Code
DB05933,No ATC Code
DB05934,No ATC Code
DB05936,No ATC Code
DB05938,No ATC Code
DB05939,No ATC Code
DB05941,No ATC Code
DB05942,No ATC Code
DB05943,No ATC Code
DB05944,No ATC Code
DB05945,No ATC Code
DB05947,No ATC Code
DB05950,No ATC Code
DB05953,No ATC Code
DB05956,No ATC Code
DB05959,No ATC Code
DB05961,No ATC Code
DB05964,No ATC Code
DB05966,No ATC Code
DB05967,No ATC Code
DB05968,No ATC Code
DB05969,No ATC Code
DB05971,No ATC Code
DB05973,No ATC Code
DB05974,No ATC Code
DB05983,No ATC Code
DB05984,No ATC Code
DB05990,A
DB05992,No ATC Code
DB05993,No ATC Code
DB05996,No ATC Code
DB06005,No ATC Code
DB06011,No ATC Code
DB06013,No ATC Code
DB06014,M
DB06016,N
DB06021,No ATC Code
DB06022,No ATC Code
DB06039,No ATC Code
DB06040,No ATC Code
DB06042,No ATC Code
DB06043,L
DB06045,No ATC Code
DB06049,No ATC Code
DB06050,No ATC Code
DB06058,No ATC Code
DB06061,No ATC Code
DB06063,No ATC Code
DB06064,No ATC Code
DB06069,No ATC Code
DB06070,No ATC Code
DB06071,No ATC Code
DB06073,No ATC Code
DB06075,No ATC Code
DB06077,N
DB06080,No ATC Code
DB06081,B
DB06082,No ATC Code
DB06083,No ATC Code
DB06087,No ATC Code
DB06089,No ATC Code
DB06090,No ATC Code
DB06091,No ATC Code
DB06093,No ATC Code
DB06094,No ATC Code
DB06096,No ATC Code
DB06097,No ATC Code
DB06098,No ATC Code
DB06101,No ATC Code
DB06103,No ATC Code
DB06106,No ATC Code
DB06109,No ATC Code
DB06111,No ATC Code
DB06112,No ATC Code
DB06116,No ATC Code
DB06117,No ATC Code
DB06119,N
DB06124,No ATC Code
DB06127,No ATC Code
DB06129,No ATC Code
DB06130,No ATC Code
DB06133,No ATC Code
DB06134,No ATC Code
DB06137,D
DB06138,No ATC Code
DB06140,No ATC Code
DB06143,No ATC Code
DB06144,N
DB06145,J
DB06147,G
DB06148,N
DB06149,J
DB06150,J
DB06151,R
DB06152,C
DB06153,N
DB06154,C
DB06155,A
DB06156,No ATC Code
DB06157,No ATC Code
DB06159,No ATC Code
DB06160,J
DB06161,No ATC Code
DB06162,No ATC Code
DB06163,No ATC Code
DB06166,No ATC Code
DB06168,L
DB06169,No ATC Code
DB06171,No ATC Code
DB06174,R
DB06176,L
DB06177,No ATC Code
DB06178,No ATC Code
DB06179,No ATC Code
DB06180,No ATC Code
DB06181,No ATC Code
DB06182,No ATC Code
DB06184,No ATC Code
DB06185,No ATC Code
DB06186,L
DB06187,No ATC Code
DB06188,No ATC Code
DB06190,No ATC Code
DB06191,No ATC Code
DB06192,No ATC Code
DB06193,L
DB06194,No ATC Code
DB06195,No ATC Code
DB06196,B
DB06197,No ATC Code
DB06198,No ATC Code
DB06199,No ATC Code
DB06200,C
DB06201,N
DB06202,G
DB06203,A
DB06204,N
DB06205,No ATC Code
DB06206,V
DB06207,G
DB06209,B
DB06210,B
DB06211,J
DB06212,C
DB06213,C
DB06215,No ATC Code
DB06216,N
DB06217,C
DB06218,N
DB06219,J
DB06224,No ATC Code
DB06225,No ATC Code
DB06226,No ATC Code
DB06228,B
DB06229,No ATC Code
DB06230,N
DB06231,No ATC Code
DB06233,L
DB06234,J
DB06235,No ATC Code
DB06236,No ATC Code
DB06237,G
DB06239,No ATC Code
DB06240,No ATC Code
DB06241,No ATC Code
DB06243,P
DB06244,D
DB06245,No ATC Code
DB06246,No ATC Code
DB06247,No ATC Code
DB06248,No ATC Code
DB06249,No ATC Code
DB06250,No ATC Code
DB06251,No ATC Code
DB06253,No ATC Code
DB06255,No ATC Code
DB06256,No ATC Code
DB06257,No ATC Code
DB06258,No ATC Code
DB06260,No ATC Code
DB06261,V
DB06262,C
DB06263,L
DB06264,M
DB06266,L
DB06267,G
DB06268,C
DB06270,No ATC Code
DB06271,B
DB06272,No ATC Code
DB06273,L
DB06274,A
DB06276,No ATC Code
DB06280,No ATC Code
DB06281,No ATC Code
DB06282,R
DB06283,N
DB06285,H
DB06287,L
DB06288,N
DB06290,G
DB06292,A
DB06293,No ATC Code
DB06294,No ATC Code
DB06295,No ATC Code
DB06297,No ATC Code
DB06299,No ATC Code
DB06302,No ATC Code
DB06303,No ATC Code
DB06304,No ATC Code
DB06305,No ATC Code
DB06306,No ATC Code
DB06307,No ATC Code
DB06309,No ATC Code
DB06310,J
DB06311,No ATC Code
DB06313,No ATC Code
DB06314,No ATC Code
DB06317,L
DB06318,No ATC Code
DB06321,No ATC Code
DB06322,No ATC Code
DB06323,No ATC Code
DB06324,No ATC Code
DB06325,No ATC Code
DB06326,No ATC Code
DB06328,No ATC Code
DB06329,No ATC Code
DB06331,No ATC Code
DB06333,No ATC Code
DB06334,No ATC Code
DB06335,A
DB06336,No ATC Code
DB06342,No ATC Code
DB06343,L
DB06345,No ATC Code
DB06346,No ATC Code
DB06347,No ATC Code
DB06350,No ATC Code
DB06352,No ATC Code
DB06354,No ATC Code
DB06355,No ATC Code
DB06356,No ATC Code
DB06358,J
DB06359,No ATC Code
DB06360,No ATC Code
DB06361,No ATC Code
DB06362,No ATC Code
DB06364,No ATC Code
DB06365,No ATC Code
DB06366,L
DB06367,No ATC Code
